;2020M03;2020M02;2020M01;2019M12;2019M11;2019M10;2019M09;2019M08;2019M07;2019M06;2019M05;2019M04;2019M03;2019M02;2019M01;2018M12;2018M11;2018M10;2018M09;2018M08;2018M07;2018M06;2018M05;2018M04;2018M03;2018M02;2018M01;2017M12;2017M11;2017M10;2017M09;2017M08;2017M07;2017M06;2017M05;2017M04;2017M03;2017M02;2017M01;2016M12;2016M11;2016M10;2016M09;2016M08;2016M07;2016M06;2016M05;2016M04;2016M03;2016M02;2016M01;2015M12;2015M11;2015M10;2015M09;2015M08;2015M07;2015M06;2015M05;2015M04;2015M03;2015M02;2015M01;2014M12;2014M11;2014M10;2014M09;2014M08;2014M07;2014M06;2014M05;2014M04;2014M03;2014M02;2014M01;2013M12;2013M11;2013M10;2013M09;2013M08;2013M07;2013M06;2013M05;2013M04;2013M03;2013M02;2013M01;2012M12;2012M11;2012M10;2012M09;2012M08;2012M07;2012M06;2012M05;2012M04;2012M03;2012M02;2012M01;2011M12;2011M11;2011M10;2011M09;2011M08;2011M07;2011M06;2011M05;2011M04;2011M03;2011M02;2011M01;2010M12;2010M11;2010M10;2010M09;2010M08;2010M07;2010M06;2010M05;2010M04;2010M03;2010M02;2010M01;2009M12;2009M11;2009M10;2009M09;2009M08;2009M07;2009M06;2009M05;2009M04;2009M03;2009M02;2009M01;2008M12;2008M11;2008M10;2008M09;2008M08;2008M07;2008M06;2008M05;2008M04;2008M03;2008M02;2008M01;2007M12;2007M11;2007M10;2007M09;2007M08;2007M07;2007M06;2007M05;2007M04;2007M03;2007M02;2007M01;2006M12;2006M11;2006M10;2006M09;2006M08;2006M07;2006M06;2006M05;2006M04;2006M03;2006M02;2006M01;2005M12;2005M11;2005M10;2005M09;2005M08;2005M07;2005M06;2005M05;2005M04;2005M03;2005M02;2005M01;2004M12;2004M11;2004M10;2004M09;2004M08;2004M07;2004M06;2004M05;2004M04;2004M03;2004M02;2004M01;2003M12;2003M11;2003M10;2003M09;2003M08;2003M07;2003M06;2003M05;2003M04;2003M03;2003M02;2003M01;2002M12;2002M11;2002M10;2002M09;2002M08;2002M07;2002M06;2002M05;2002M04;2002M03;2002M02;2002M01;
01 Alimentos y bebidas no alcohólicas;105,75;105,59;105,35;105,06;105,24;105,28;103,73;103,82;103,72;104,00;103,59;103,14;103,16;103,53;103,25;103,34;103,51;104,07;102,81;102,81;102,77;103,50;103,03;102,32;102,20;102,11;102,28;101,97;102,03;102,29;101,06;100,80;100,93;100,97;101,02;100,72;100,81;101,15;101,00;100,27;99,82;99,94;99,85;100,75;100,79;100,15;99,89;99,60;99,43;99,48;100,02;99,47;99,44;99,63;99,06;98,99;98,30;98,69;98,19;97,68;97,76;98,23;97,97;97,70;97,76;97,80;97,28;97,19;96,95;96,92;96,97;97,29;97,39;98,04;98,40;98,03;97,58;97,45;98,04;99,36;98,92;98,37;97,76;97,17;96,87;96,99;97,24;96,87;96,40;95,92;95,63;95,16;94,76;94,91;94,53;94,69;94,46;94,37;94,26;94,02;93,73;93,55;93,48;93,28;93,08;92,91;92,83;92,59;92,33;92,02;92,18;92,06;91,73;91,54;91,41;91,31;90,92;90,74;90,55;90,57;90,68;90,66;91,36;91,42;91,23;91,20;91,34;91,38;91,23;91,42;91,80;92,29;92,59;93,22;93,65;93,64;93,49;93,46;93,57;93,34;93,21;93,12;92,52;92,34;92,04;91,80;91,93;91,45;90,68;89,87;88,16;87,37;87,09;86,86;86,71;86,60;86,11;85,77;85,91;85,78;85,32;85,18;85,23;84,99;84,85;84,51;84,06;83,88;83,72;83,68;83,92;83,14;82,09;81,60;81,45;81,28;80,98;81,15;81,15;81,06;80,54;80,21;80,36;79,81;79,59;79,29;79,27;79,25;79,02;78,67;78,66;78,31;77,93;77,54;77,84;77,45;77,12;77,01;76,97;76,30;75,65;75,22;75,09;74,89;74,86;74,59;74,84;74,43;73,97;73,86;73,72;73,34;72,99;72,69;72,50;72,19;71,73;71,35;71,37;
02 Bebidas alcohólicas y tabaco;104,90;104,86;104,43;103,99;104,33;104,38;104,34;104,35;104,32;104,33;104,44;104,34;104,38;104,27;103,93;103,54;103,91;103,94;103,86;103,78;103,83;103,89;103,81;103,57;103,34;103,02;102,58;102,14;101,92;101,80;101,71;101,67;101,69;101,67;101,65;101,55;101,62;101,61;101,31;100,44;100,05;100,02;99,98;99,98;100,02;100,05;100,10;99,97;99,94;99,85;99,61;99,59;99,67;99,68;99,66;99,61;99,60;99,54;99,54;99,50;99,53;99,43;98,76;98,29;98,46;98,44;98,39;98,38;98,29;97,84;97,93;98,01;98,13;98,05;97,90;97,91;98,04;98,09;97,99;97,95;97,66;95,86;95,84;95,66;95,61;95,55;95,17;92,70;92,49;92,65;92,64;92,34;92,15;91,93;91,92;90,95;88,43;88,38;88,10;87,96;87,96;87,83;86,97;84,02;84,13;82,45;86,53;86,52;86,58;86,44;86,25;84,44;79,63;79,58;79,61;79,60;79,63;79,26;75,46;75,44;75,45;75,47;74,29;73,30;73,37;73,34;73,32;73,29;73,24;70,21;67,29;67,32;67,28;67,21;66,42;65,03;65,01;64,96;64,90;64,84;64,82;64,81;64,77;64,72;64,61;64,50;63,85;62,57;62,50;62,43;62,31;62,32;62,33;62,28;62,24;62,19;62,15;62,07;61,93;58,98;58,66;58,58;58,57;58,51;58,72;58,71;58,63;58,49;58,33;55,23;56,88;58,15;58,08;58,05;57,96;57,55;57,49;57,49;57,27;57,25;55,49;55,50;55,41;55,32;55,33;55,35;55,36;55,33;55,31;55,25;54,87;52,70;52,66;52,58;52,52;52,44;52,39;52,38;52,38;52,38;52,35;52,08;52,07;52,03;51,98;51,87;51,09;51,02;51,04;51,03;51,02;51,01;50,98;50,95;50,95;50,82;48,83;48,74;48,73;
03 Vestido y calzado;97,58;93,48;94,86;112,02;114,42;109,11;98,14;93,10;94,25;107,82;109,19;106,61;96,52;92,45;93,87;110,99;113,29;107,96;97,17;92,27;93,42;106,87;108,19;105,50;95,67;91,68;93,11;109,96;112,25;106,86;96,23;91,43;92,53;105,91;107,17;104,62;94,98;91,17;92,67;109,45;111,80;106,35;95,64;91,01;92,17;105,75;107,01;104,28;94,25;90,40;91,89;108,52;110,78;105,42;94,91;90,42;91,59;105,18;106,44;103,78;93,85;90,00;91,54;107,93;110,17;104,83;94,44;89,99;91,15;104,69;106,04;103,63;93,91;90,11;91,66;107,68;109,78;104,52;94,37;90,24;91,35;104,47;105,60;103,31;93,84;90,22;91,86;107,70;109,45;104,16;94,30;90,61;91,64;104,34;105,31;103,10;93,83;90,35;91,95;107,43;108,94;103,76;94,11;90,61;91,46;103,94;104,76;102,64;93,68;90,39;91,86;107,08;108,40;103,43;94,16;90,81;91,50;103,57;104,23;102,22;93,35;90,10;91,47;106,46;107,78;103,17;94,17;90,88;91,65;103,94;104,77;103,17;94,30;91,21;92,53;107,35;108,72;105,17;96,30;92,95;93,59;105,56;106,36;104,98;96,05;92,89;94,10;106,78;107,84;104,47;95,84;92,62;93,23;104,85;105,51;104,16;95,25;92,14;93,25;105,56;106,59;103,56;94,93;91,74;92,27;103,67;104,33;103,08;94,28;91,24;92,07;104,22;105,18;102,23;93,84;90,76;91,26;102,24;102,86;101,73;93,08;90,20;91,03;102,75;103,49;100,61;92,71;89,98;90,32;101,08;101,59;100,15;91,60;89,09;89,52;100,63;101,15;97,89;90,83;88,35;88,96;99,06;99,59;98,45;90,59;88,06;88,75;98,22;98,87;95,15;87,45;85,07;85,66;93,92;94,36;93,35;87,16;85,34;86,32;
04 Vivienda, agua, electricidad, gas y otros combustibles;100,55;102,56;103,84;102,83;104,01;104,47;103,38;103,91;104,90;104,22;104,87;105,44;105,63;106,48;107,66;108,27;108,42;108,68;108,57;107,41;106,72;105,78;105,21;103,37;103,46;105,49;105,09;105,65;105,49;104,54;103,11;103,02;102,89;103,13;102,84;102,58;102,46;104,05;107,26;104,30;102,96;102,27;100,17;99,71;99,74;99,59;97,56;97,36;98,19;98,27;99,87;103,45;103,36;102,71;103,10;104,34;105,71;105,38;104,38;104,86;104,79;104,82;106,21;105,92;106,12;107,54;107,89;106,37;105,79;106,32;106,91;106,85;106,89;106,83;106,66;106,16;106,08;106,17;105,56;105,41;104,56;104,18;104,11;104,19;105,81;105,67;105,45;106,16;106,23;106,38;107,05;105,68;105,34;103,77;103,97;103,70;101,43;101,19;101,01;100,49;100,42;100,25;99,82;99,73;99,92;98,87;98,95;99,07;98,38;97,98;97,67;95,01;94,70;94,35;93,08;92,96;93,06;91,88;91,97;91,70;91,05;90,69;90,61;89,87;89,83;89,53;89,37;89,47;89,26;88,99;88,63;88,68;89,98;89,95;89,58;89,15;89,58;89,76;89,65;89,67;89,94;88,43;87,89;87,30;86,50;85,89;85,62;84,17;84,06;83,61;83,05;83,08;82,98;82,70;82,48;82,33;82,05;81,55;81,28;80,34;80,25;80,21;80,48;80,55;80,47;80,20;80,11;79,81;78,97;78,58;78,25;76,55;76,64;76,50;76,04;75,71;75,38;74,75;74,50;74,48;73,46;72,90;72,61;72,23;72,33;72,30;71,68;71,51;71,25;71,02;70,87;70,64;70,37;70,03;69,84;69,36;69,33;69,14;68,95;68,86;68,72;68,65;68,57;68,71;68,68;68,26;67,97;67,44;67,33;67,34;67,27;67,08;66,98;66,82;66,66;66,55;66,34;66,17;66,03;
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;100,47;100,20;100,14;100,78;100,91;100,72;100,22;100,06;99,93;100,78;100,69;100,39;100,06;99,85;99,74;100,22;100,12;99,89;99,53;99,33;99,29;100,14;100,05;99,82;99,48;99,24;99,20;99,87;99,87;99,60;99,36;99,06;99,03;99,99;99,98;99,71;99,47;99,27;99,47;100,33;100,41;100,16;99,82;99,59;99,63;100,41;100,37;100,12;99,90;99,63;99,63;100,32;100,23;100,04;99,69;99,48;99,47;100,24;100,11;99,88;99,64;99,47;99,51;100,21;100,17;99,97;99,81;99,61;99,59;100,45;100,47;100,36;100,18;99,96;100,01;100,85;100,82;100,61;100,39;100,12;100,18;101,35;101,25;100,88;100,45;100,26;100,23;101,03;100,91;100,61;99,75;98,92;98,81;99,91;99,83;99,54;99,15;98,88;98,94;99,85;99,72;99,35;98,88;98,56;98,50;99,29;99,11;98,70;98,18;97,85;97,88;98,73;98,55;98,33;97,89;97,53;97,45;97,85;97,76;97,53;97,21;96,93;96,92;97,79;97,69;97,45;97,12;96,89;96,76;97,64;97,59;97,30;96,80;96,49;96,36;97,01;96,85;96,48;96,01;95,68;95,65;96,25;96,01;95,57;94,86;94,42;94,34;94,53;94,24;93,94;93,55;93,31;93,34;93,93;93,63;93,24;92,51;92,05;92,03;92,20;92,01;91,63;91,28;90,99;90,92;91,51;91,27;90,84;90,18;89,74;89,47;89,83;89,60;89,27;88,92;88,59;88,56;89,24;88,94;88,48;87,92;87,66;87,53;87,92;87,67;87,34;86,94;86,80;86,82;87,32;87,07;86,74;86,21;85,88;85,86;86,40;86,27;86,00;85,67;85,41;85,41;86,00;85,84;85,47;84,99;84,65;84,49;84,93;84,66;84,45;84,03;83,75;83,74;84,31;84,07;83,72;83,19;82,84;82,73;
06 Sanidad;102,00;101,97;102,06;102,07;102,05;101,98;101,89;101,83;101,96;101,90;101,89;101,83;101,69;101,61;101,59;101,53;101,44;101,14;100,97;100,91;101,08;101,19;101,13;100,86;100,77;100,69;100,72;100,67;100,63;100,72;100,83;100,86;101,00;100,95;100,95;100,77;100,62;100,48;100,41;100,26;100,19;100,17;100,05;100,14;100,10;100,08;100,02;99,95;99,73;99,64;99,67;100,39;100,40;100,36;100,28;100,23;100,28;100,21;100,19;100,16;100,26;100,15;100,02;99,87;100,00;100,07;99,94;100,20;100,13;100,25;100,21;100,19;100,22;100,02;100,12;100,09;100,29;100,32;100,29;100,33;100,33;100,14;100,09;99,64;99,65;99,63;98,85;100,05;100,14;100,10;99,90;96,09;96,78;88,20;88,20;88,21;88,26;88,27;88,21;88,32;88,26;90,58;90,42;90,35;90,79;90,89;90,79;90,89;91,00;90,89;90,86;90,89;90,86;91,04;91,44;91,45;91,43;91,43;91,43;92,12;92,14;92,23;92,17;92,02;92,00;91,96;91,93;91,83;91,83;91,79;91,78;93,75;93,44;93,57;93,39;93,23;93,30;93,22;93,07;93,02;92,97;92,72;92,59;93,13;92,58;93,66;93,33;92,94;92,84;92,75;92,54;92,53;92,50;92,32;92,22;92,07;91,72;95,38;95,13;94,91;94,83;94,74;94,65;94,61;94,58;94,36;94,16;94,03;93,66;93,98;93,61;93,36;93,37;93,32;93,32;93,25;93,22;93,12;92,98;92,81;92,35;93,02;92,98;92,71;92,64;92,56;92,51;92,46;92,38;92,22;92,07;92,02;91,75;91,56;92,76;92,49;92,49;92,40;92,33;92,28;92,23;92,10;92,02;91,92;91,24;91,00;90,98;90,69;90,61;90,51;90,36;90,30;90,27;90,07;89,77;90,23;89,77;89,39;88,84;
07 Transporte;106,16;109,57;110,31;109,96;109,21;109,34;109,55;109,37;109,48;109,16;110,69;110,19;108,78;107,58;106,04;105,68;108,74;110,26;109,55;109,11;108,94;109,15;108,76;106,80;105,59;105,67;106,28;105,42;105,26;104,31;104,32;103,68;102,85;102,90;103,51;104,69;104,17;104,56;104,41;103,42;101,73;102,09;100,93;100,38;100,43;101,08;100,10;98,61;97,82;96,36;97,05;98,81;100,36;100,36;100,95;102,31;104,70;105,27;105,29;103,87;103,27;101,08;98,90;101,65;105,26;106,45;107,84;108,15;108,45;108,25;107,64;107,53;107,07;107,08;107,11;107,61;107,09;107,60;108,95;108,63;108,31;107,04;106,75;107,65;108,47;109,08;107,58;106,57;106,75;109,87;110,76;109,03;106,82;105,27;106,89;108,39;107,74;106,14;105,28;103,37;103,57;103,16;103,34;102,74;102,94;102,31;102,58;103,42;102,38;100,82;99,99;98,56;96,72;95,88;95,73;95,60;95,53;94,83;95,07;94,64;93,25;91,70;91,75;90,22;90,68;89,65;89,64;90,98;89,97;90,07;88,10;87,42;86,24;86,64;86,35;86,85;89,88;93,74;96,17;97,19;99,46;98,75;96,90;94,51;93,92;92,37;92,06;91,99;91,24;90,00;89,74;89,48;89,94;89,77;89,41;88,56;87,37;86,12;85,81;85,91;85,57;85,81;87,50;89,53;89,40;88,68;88,98;87,98;86,72;86,21;85,62;84,37;85,12;86,70;87,33;85,46;84,53;83,13;82,50;82,42;81,48;80,42;79,33;79,44;80,46;80,95;80,03;79,88;79,05;78,94;78,80;77,53;76,75;75,93;75,46;74,91;74,89;74,86;75,48;75,53;75,08;74,53;74,68;75,51;76,64;76,00;75,29;74,16;73,72;74,73;74,39;74,10;73,88;73,83;74,56;74,36;73,22;72,19;71,87;
08 Comunicaciones;105,24;103,96;103,97;104,02;104,28;104,36;104,64;104,58;104,41;104,26;104,50;104,35;104,46;104,69;103,88;103,33;103,48;103,43;104,20;104,08;104,16;104,20;104,32;104,24;102,97;103,17;101,25;101,02;101,43;101,39;101,55;101,47;101,44;101,92;101,92;101,37;100,90;100,83;100,37;100,78;100,79;100,83;100,80;100,78;99,96;99,86;99,90;99,93;99,27;99,27;97,83;97,58;97,65;97,69;98,08;98,09;98,08;98,11;98,14;96,60;96,67;96,66;96,66;97,13;97,13;97,17;98,66;98,69;98,68;99,92;100,00;100,06;101,44;101,46;101,41;102,95;103,08;103,08;104,87;104,96;104,97;106,22;106,24;106,17;108,91;108,90;108,91;110,20;110,20;111,38;111,39;108,64;108,64;110,65;110,70;110,63;111,06;110,94;110,88;113,24;113,28;113,28;113,96;113,89;113,90;115,05;115,11;115,15;114,96;114,96;115,00;115,06;115,06;115,07;115,33;115,33;115,31;114,72;114,79;114,81;115,81;115,82;115,87;115,89;115,93;115,94;115,97;115,98;115,96;116,02;116,15;116,37;116,42;116,41;116,45;116,28;116,81;116,94;116,89;116,86;116,98;117,03;117,02;116,99;117,01;116,95;117,09;116,61;116,80;116,91;117,02;117,03;117,18;117,44;116,94;117,33;117,56;115,95;116,33;115,72;116,03;116,26;116,53;116,48;116,38;116,64;116,86;116,96;117,23;117,60;117,89;117,48;117,66;117,71;117,84;117,90;118,00;118,27;118,27;118,37;118,55;119,53;119,73;119,47;119,51;120,01;120,10;120,20;120,36;120,58;120,71;120,88;119,94;120,07;120,16;120,28;120,36;121,14;121,30;121,29;121,37;121,49;121,59;121,81;122,10;122,30;122,17;120,53;120,72;124,93;125,05;124,56;124,55;124,94;125,14;125,14;125,14;126,71;128,64;
09 Ocio y cultura;99,73;99,87;99,08;101,18;99,18;99,54;100,47;103,65;102,49;100,83;99,15;100,63;99,75;99,44;98,75;101,03;99,18;99,77;100,33;103,52;102,82;101,22;100,32;100,36;101,36;101,01;99,63;101,08;99,64;99,77;101,38;104,62;103,45;100,66;99,50;101,81;100,33;100,43;100,13;101,67;98,47;98,34;99,62;103,88;102,24;99,29;98,31;98,51;100,62;99,78;99,25;101,20;100,10;100,26;101,18;103,66;102,88;100,95;100,25;101,15;100,64;99,84;99,41;101,03;99,39;100,18;101,09;104,05;103,06;101,75;101,07;102,53;101,06;100,80;100,09;102,25;100,91;102,15;103,14;105,91;104,72;102,68;102,16;102,54;103,43;101,71;101,22;103,47;101,60;102,98;103,06;104,19;103,11;101,11;100,55;102,17;101,14;100,40;100,16;102,67;100,44;100,99;101,82;104,36;102,83;100,50;100,14;101,90;100,42;100,03;99,48;101,32;100,00;100,95;101,78;104,20;102,98;101,33;100,70;101,27;101,43;100,20;100,49;102,43;101,04;101,75;102,47;104,35;103,70;102,92;102,39;103,90;102,50;102,32;102,15;103,59;102,17;103,11;103,68;105,48;103,98;102,80;102,35;102,25;103,35;102,17;101,89;103,30;101,86;102,69;103,50;105,27;103,92;103,05;102,96;103,75;103,18;102,64;102,27;104,15;102,59;103,46;104,60;106,27;104,99;103,74;103,18;104,16;103,11;103,32;103,06;104,74;103,31;103,81;104,33;105,73;104,43;103,18;102,59;103,04;103,99;103,15;102,85;104,07;103,17;104,00;104,93;106,28;104,58;103,86;103,00;104,38;103,33;103,02;102,72;104,16;103,11;104,24;104,37;106,03;104,39;103,39;103,00;104,74;103,18;103,01;102,70;104,04;102,69;103,05;103,89;105,55;104,27;103,58;102,93;102,63;103,12;101,55;101,52;
10 Enseñanza;103,34;103,34;103,35;103,33;103,32;103,27;102,62;102,49;102,49;102,49;102,47;102,47;102,46;102,47;102,48;102,44;102,43;102,08;101,86;101,50;101,50;101,46;101,46;101,45;101,45;101,44;101,44;101,44;101,42;101,40;100,89;100,75;100,74;100,74;100,74;100,73;100,73;100,71;100,72;100,68;100,67;100,57;100,05;99,77;99,77;99,76;99,75;99,75;99,74;99,74;99,76;99,74;99,75;99,71;99,51;99,24;99,24;99,25;99,25;99,26;99,25;99,24;99,24;99,21;99,22;99,15;98,38;98,03;98,03;98,03;98,02;98,03;98,01;98,01;98,00;97,98;97,96;97,94;96,46;96,15;96,14;96,16;96,16;96,16;96,15;96,18;96,19;96,17;96,04;96,00;87,88;87,12;87,11;87,11;87,11;87,11;87,11;87,10;87,08;87,01;87,01;86,94;85,23;84,71;84,70;84,69;84,68;84,67;84,67;84,74;84,72;84,64;84,62;84,52;83,33;82,84;82,84;82,82;82,83;82,82;82,81;82,81;82,80;82,76;82,73;82,61;81,31;80,78;80,77;80,75;80,74;80,75;80,74;80,70;80,67;80,60;80,55;80,87;78,77;77,81;77,79;77,73;77,72;77,71;77,66;77,65;77,63;77,52;77,47;77,29;75,46;74,91;74,90;74,85;74,83;74,83;74,81;74,79;74,74;74,49;74,40;73,96;72,21;71,66;71,64;71,59;71,58;71,58;71,53;71,50;71,45;71,34;71,31;71,13;69,45;68,94;68,93;68,91;68,89;68,89;68,86;68,84;68,82;68,54;68,47;68,05;66,71;66,15;66,14;66,11;66,10;66,09;66,07;66,05;65,97;65,78;65,74;65,60;64,11;63,66;63,64;63,62;63,58;63,57;63,56;63,52;63,13;63,05;62,69;62,57;61,07;60,64;60,62;60,61;60,60;60,59;60,53;60,46;60,38;
